address,title,access,default,field,msb,lsb,values,description,
0x0000,board_id,R,0x001B,board_id,15,0,,"Board ID, read only.",
0x0001,major_rev,R,,major_rev,15,0,,"Major revision, read only.",
0x0002,compile_rev,R,,compile_rev,15,0,,"Compile revision, read only.",
0x0003,reserved,R/W,,reserved,15,0,,Reserved.,
0x0004,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0005,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0006,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0007,ch_en,R/W,0x0003,ch_en,1,0,"01 = A, 10 = B, 11 = A+B",Channel selection.,
0x0008,interface and synchronization control,R/W,0x0102,synch_dis,9,9,"0 = enabled, 1 = disabled",Packet synchronization using timestamps.,
0x0008,,,,mimo_int_en,8,8,"0 = disabled, 1 = enabled",MIMO mode.,
0x0008,,,,trxiq_pulse,7,7,"0 = off, 1 = on",TRXIQ pulse mode.,
0x0008,,,,ddr_en,6,6,"0 = SDR, 1 = DDR",DIQ interface mode.,
0x0008,,,,smpl_width,1,0,"10 = 12-bit, 00 = 16-bit",Sample width selection.,
0x0009,,R/W,0x0003,txpct_loss_clr,1,1,0 - Normal operation (Default) 1 - Rising edge clears flag,TX packets dropping flag clear,
0x0009,,R/W,0x0003,smpl_nr_clr,0,0,0 - Normal operation (Default) 1 - Timestamp is cleared,Reset_timestamp,
0x000A,RF and TDD control,R/W,0x0000,rf_sw_auto_en,11,11,0/1,Control RF switches by internal TDD signal.,
0x000A,,,,tx_cnt_en,10,10,0/1,Counter test pattern on TX.,
0x000A,,,,tx_ptrn_en,9,9,0/1,Test pattern on TX.,
0x000A,,,,rx_ptrn_en,8,8,0/1,Test pattern on RX.,
0x000A,,,,tdd_invert,7,7,0/1,Invert external TDD signal.,
0x000A,,,,tdd_auto_en,6,6,0/1,Control external TDD signal by internal TDD signal.,
0x000A,,,,tdd_manual,5,5,0/1,Manual value of external TDD signal.,
0x000A,,,,tx_rf_sw,4,4,"0 = TX2, 1 = TX1",TX RF switch select.,
0x000A,,,,rx_rf_sw,3,2,"00 = RX_W, 01 = RX_L, 10 = RX_H, 11 = NC",RX RF switch select.,
0x000A,,,,rx_en,0,0,0/1,Unified RX/TX enable.,
0x000B,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x000C,reserved,R/W,0x0003,Reserved,15,0,,Reserved.,
0x000D,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x000E,RX_PACKET_SAMPLES,R/W,0x0000,RX_PACKET_SAMPLES,15,0,,RX packet size in samples.,
0x000F,reserved,R/W,0x03FC,Reserved,15,0,,Reserved.,
0x0010,txant_pre,R/W,0x0001,txant_pre,15,0,,Number of samples to delay turning on the internal TDD signal.,
0x0011,txant_post,R/W,0x0001,txant_post,15,0,,Number of samples to delay turning off the internal TDD signal.,
0x0012,reserved,R/W,0xFFFF,Reserved,15,0,,Reserved.,
0x0013,lms_misc_ctrl,R/W,0x6F6B,LMS_TXRXEN_MUX_SEL,15,8,,LMS TX/RX hard-enable source mux selection.,
0x0013,,,,LMS1_RXEN,6,6,"0=Disabled,1=Enabled",LMS1 RX hard enable.,
0x0013,,,,LMS1_TXEN,5,5,"0=Disabled,1=Enabled",LMS1 TX hard enable.,
0x0013,,,,LMS1_TXNRX2,4,4,"0=TXIQ,1=RXIQ",LMS1 port 2 mode selection.,
0x0013,,,,LMS1_TXNRX1,3,3,"0=TXIQ,1=RXIQ",LMS1 port 1 mode selection.,
0x0013,,,,LMS1_CORE_LDO_EN,2,2,"0=Disabled,1=Enabled",LMS1 internal LDO enable.,
0x0013,,,,LMS1_RESET,1,1,"0=Reset active,1=Inactive",LMS1 hardware reset.,
0x0014,reserved,R/W,0x0003,Reserved,15,0,,Reserved.,
0x0015,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0016,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x0017,reserved,R/W,0x2340,Reserved,15,0,,Reserved.,
0x0018,LMS and clock control,R/W,0x0003,CORE_LDO_EN,3,3,0/1,LMS internal LDO control.,
0x0018,,,,EXT_CLK,2,2,"0 = onboard, 1 = external",Clock source selection.,
0x0018,,,,TCXO_EN,1,1,0/1,Onboard clock enable.,
0x0018,,,,LMS_RST,0,0,"0 = reset active, 1 = reset inactive",LMS hardware reset.,
0x0019,RX_PACKET_SIZE,R/W,0x1000,RX_PACKET_SIZE,15,0,,RX packet size in bytes.,
0x001A,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x001B,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x001C,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,
0x001D,reserved,R/W,0x00FF,Reserved,15,0,,Reserved.,
0x001E,reserved,R/W,0x0003,Reserved,15,0,,Reserved.,
0x001F,reserved,R/W,0xD090,Reserved,15,0,,Reserved.,
0x0020,C1 Phase,R/W,0x0000,value,15,0,,Phase value for PLL output clock 1.,
0x0021,PLL status,R,0x0001,phcfg_error,3,3,status,"Phase configuration error, documented as unused.",
0x0021,,,,phcfg_done,2,2,status,"Phase configuration done, read only.",
0x0021,,,,pllcfg_busy,1,1,status,"PLL configuration busy, read only.",
0x0021,,,,pllcfg_done,0,0,status,"PLL configuration done, read only.",
0x0022,pll_lock_status,R,0x0000,pll_lock_rx,1,1,"0=No lock,1=Locked",RX PLL lock status.,
