address,title,access,default,field,msb,lsb,values,description,op
0x0001,major_rev,R,,major_rev,15,0,,"Major revision, read only.",delete
0x0002,compile_rev,R,,compile_rev,15,0,,"Compile revision, read only.",delete
0x0003,reserved,R/W,,reserved,15,0,,Reserved.,delete
0x0004,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x0005,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x0006,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x0007,ch_en,R/W,0x0003,ch_en,1,0,"01 = A, 10 = B, 11 = A+B",Channel selection.,delete
0x0008,,,,trxiq_pulse,7,7,"0 = off, 1 = on",TRXIQ pulse mode.,delete
0x0009,"txpct_loss_clr, smpl_nr_clr",R/W,0x0003,value,15,0,,TX packet-loss flag clear and timestamp reset control.,delete
0x000A,,,,rx_rf_sw,3,2,"00 = RX_W, 01 = RX_L, 10 = RX_H, 11 = NC",RX RF switch select.,delete
0x000A,,,,tx_rf_sw,4,4,"0 = TX2, 1 = TX1",TX RF switch select.,delete
0x000A,,,,tdd_manual,5,5,0/1,Manual value of external TDD signal.,delete
0x000A,,,,tdd_auto_en,6,6,0/1,Control external TDD signal by internal TDD signal.,delete
0x000A,,,,tdd_invert,7,7,0/1,Invert external TDD signal.,delete
0x000A,,,,tx_cnt_en,10,10,0/1,Counter test pattern on TX.,delete
0x000A,RF and TDD control,R/W,0x0000,rf_sw_auto_en,11,11,0/1,Control RF switches by internal TDD signal.,delete
0x000B,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x000C,reserved,R/W,0x0003,Reserved,15,0,,Reserved.,delete
0x000D,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x000E,RX_PACKET_SAMPLES,R/W,0x0000,RX_PACKET_SAMPLES,15,0,,RX packet size in samples.,delete
0x000F,reserved,R/W,0x03FC,Reserved,15,0,,Reserved.,delete
0x0010,txant_pre,R/W,0x0001,txant_pre,15,0,,Number of samples to delay turning on the internal TDD signal.,delete
0x0011,txant_post,R/W,0x0001,txant_post,15,0,,Number of samples to delay turning off the internal TDD signal.,delete
0x0012,reserved,R/W,0xFFFF,Reserved,15,0,,Reserved.,delete
0x0013,"LMS_TXRXEN_MUX_SEL, LMS1_RXEN, LMS1_TXEN, LMS1_TXNRX2, LMS1_TXNRX1, LMS1_CORE_LDO_EN, LMS1_RESET",R/W,0x6F6B,value,15,0,,LMS7002 digital-interface and hard-enable control.,delete
0x0014,reserved,R/W,0x0003,Reserved,15,0,,Reserved.,delete
0x0015,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x0016,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
