module,address,address_end,default,name,description
FPGACFG,0x0000,,0x0011,board_id,Board identification number (LimeSDR Mini default 0x0011).
FPGACFG,0x0001,,,gw_ver,Gateware version number.
FPGACFG,0x0002,,,gw_rev,Gateware revision number.
FPGACFG,0x0003,,,"bom_ver, hw_ver",Board BOM version and hardware version.
FPGACFG,0x0004,,0x0000,Reserved,Reserved.
FPGACFG,0x0005,,0x0000,drct_clk_en,Clock source selection for RX/TX interfaces.
FPGACFG,0x0006,,0x0000,Reserved,Reserved.
FPGACFG,0x0007,,0x0303,ch_en,RX/TX MIMO channel enable control.
FPGACFG,0x0008,,0x0102,"dlb_en, synch_dis, mimo_int_en, triq_pulse, ddr_en, mode, smpl_width",DIQ interface control.
FPGACFG,0x0009,,0x0003,"txpct_loss_clr, smpl_nr_clr",Packet control: TX packet-loss clear and timestamp reset.
FPGACFG,0x000A,,0x0000,"tx_ptrn_en, rx_ptrn_en, tx_en, rx_en",RX/TX module control.
FPGACFG,0x000B,,0x0000,Reserved,Reserved.
FPGACFG,0x000C,,0x0003,wfm_ch_en,WFM player channel enable control.
FPGACFG,0x000D,,0x0001,"wfm_load, wfm_play",WFM player load/play control.
FPGACFG,0x000E,,0x0002,wfm_smpl_width,WFM player sample width control.
FPGACFG,0x000F,,0x0000,Reserved,Reserved.
FPGACFG,0x0010,,0x0000,Reserved,Reserved.
FPGACFG,0x0011,,0x0000,Reserved,Reserved.
FPGACFG,0x0012,,0xFFFF,spi_ss,Controlled SPI slave-select enable bits.
FPGACFG,0x0013,,0x6F6F,lms_misc,LMS7002 MISC pin control.
FPGACFG,0x0014,,0x0000,Reserved,Reserved for lms3_4.
FPGACFG,0x0015,,0x0000,Reserved,Reserved for lms5_6.
FPGACFG,0x0016,,0x0000,Reserved,Reserved for lms7_8.
FPGACFG,0x0017,,0x0000,gpio,GPIO for external periphery.
FPGACFG,0x0018,,0x0001,dev_ctrl0,Device control bit 0 (not used).
FPGACFG,0x0019,,,Reserved,Reserved.
FPGACFG,0x001A,,0x0000,fpga_led_ctrl,Onboard FPGA LED override/control.
FPGACFG,0x001B,,0x0000,Reserved,Reserved.
