address,title,access,default,field,msb,lsb,values,description,op
0x00CA,periph_input_sel,R/W,0x0000,periph_input_sel,15,0,,"PPS input source select. 0 = GNSS_1PPS, 1 = 1PPSI_GPIO1.",delete
0x00D2,PERIPH_EN,R/W,0x0003,PERIPH_EN,2,0,,"Peripheral enables: clock-out routing, GNSS reset, GNSS standby.",delete
0x00D3,reserved,R/W,0x0000,Reserved,15,0,,Reserved.,delete
0x000E,RX_PACKET_SAMPLES,R/W,0x0000,RX_PACKET_SAMPLES,15,0,,RX packet size in samples.,delete
0x0011,txant_post,R/W,0x0001,txant_post,15,0,,Number of samples to delay turning off the internal TDD signal.,delete
0x002C,m_frac(LSB),R/W,0x0000,m_frac_l,15,0,,"PLL multiplier fractional value, LSB.",delete
0x002D,m_frac(MSB),R/W,0x0000,m_frac_h,15,0,,"PLL multiplier fractional value, MSB.",delete
0x007D,tx_tst_i,R/W,0xAAAA,tx_tst_i,15,0,,TX test value for I channel.,delete
0x007E,tx_tst_q,R/W,0x5555,tx_tst_q,15,0,,TX test value for Q channel.,delete
0x0000,board_id,R,0x0011,board_id,15,0,,"Board identification number, read only (LimeSDR USB default 0x0011).",upsert
0x0001,major_rev,R,,major_rev,15,0,,"Major gateware revision, read only.",upsert
0x0002,compile_rev,R,,compile_rev,15,0,,"Gateware compile revision, read only.",upsert
0x0003,board_ver_ctrl,R,0x0002,board_ver_ctrl,15,0,,"Board version/BOM control. Documented quirk: firmware currently always returns a fixed 0x0002, regardless of actual hardware/BOM version.",upsert
0x0005,drct_clk_en,R/W,0x0000,drct_clk_en_tx,0,0,"0=PLL,1=Direct",TX clock source selection.,upsert
0x0005,,,,drct_clk_en_rx,1,1,"0=PLL,1=Direct",RX clock source selection.,upsert
0x0007,ch_en,R/W,0x0303,ch_en_rx0,0,0,"0=Disabled,1=Enabled",RX channel 0 enable.,upsert
0x0007,,,,ch_en_rx1,1,1,"0=Disabled,1=Enabled",RX channel 1 enable.,upsert
0x0007,,,,ch_en_tx0,8,8,"0=Disabled,1=Enabled",TX channel 0 enable.,upsert
0x0007,,,,ch_en_tx1,9,9,"0=Disabled,1=Enabled",TX channel 1 enable.,upsert
0x0008,stream_ctrl,R/W,0x0102,smpl_width,1,0,"10=12-bit,00=16-bit",Interface sample width selection.,upsert
0x0008,,,,trxiq_pulse,7,7,"0=OFF,1=ON","TRXIQ pulse mode. Only bit exposed by firmware on both read and write; other reg08 bits are not accessible through this legacy register.",upsert
0x0008,,,,mimo_int_en,8,8,"0=Disabled,1=Enabled",MIMO mode control.,upsert
0x0008,,,,synch_dis,9,9,"0=Enabled,1=Disabled",Packet synchronization using timestamps.,upsert
0x0009,reg09,R/W,0x0003,smpl_nr_clr,0,0,"0=Normal,1=Clear",Timestamp reset control.,upsert
0x0009,,,,txpct_loss_clr,1,1,"0=Normal,1=Rising edge clears",TX packet dropping flag clear.,upsert
0x000A,reg10,R/W,0x0000,rx_en,0,0,"0=Disabled,1=Enabled",Unified RX enable.,upsert
0x000A,,,,rx_rf_sw,3,2,"00=RX_W,01=RX_L,10=RX_H,11=NC",RX RF switch select.,upsert
0x000A,,,,tx_rf_sw,4,4,"0=TX2,1=TX1",TX RF switch select.,upsert
0x000A,,,,tdd_manual,5,5,0/1,Manual value of external TDD signal.,upsert
0x000A,,,,tdd_auto_en,6,6,0/1,Control external TDD signal by internal TDD signal.,upsert
0x000A,,,,tdd_invert,7,7,0/1,Invert external TDD signal.,upsert
0x000A,,,,rx_ptrn_en,8,8,0/1,RX test pattern enable.,upsert
0x000A,,,,tx_ptrn_en,9,9,0/1,TX test pattern enable.,upsert
0x000A,,,,tx_cnt_en,10,10,0/1,Counter test pattern on TX.,upsert
0x000A,,,,rf_sw_auto_en,11,11,0/1,Control RF switches by internal TDD signal.,upsert
0x000C,wfm_ch_en,R/W,0x0003,wfm_ch0_en,0,0,"0=Disabled,1=Enabled",WFM channel 0 enable.,upsert
0x000C,,,,wfm_ch1_en,1,1,"0=Disabled,1=Enabled",WFM channel 1 enable.,upsert
0x000D,wfm_ctrl2,R/W,0x0001,wfm_smpl_width,0,0,"0=16-bit,1=12-bit",WFM sample width selection.,upsert
0x000D,,,,wfm_play,1,1,"0=Disabled,1=Enabled",WFM loaded-file play enable.,upsert
0x000D,,,,wfm_load,2,2,0->1 transition,Starts WFM file loading.,upsert
0x000F,txant_pre,R/W,0x0000,txant_pre,15,0,,Number of samples to delay turning on the internal TDD signal.,upsert
0x0010,txant_post,R/W,0x0000,txant_post,15,0,,Number of samples to delay turning off the internal TDD signal.,upsert
0x0013,lms1,W,0x0000,lms1_reset,1,1,"0=Reset active,1=Inactive","LMS1 hardware reset. Board-specific: this register is write-only in the current firmware, no read-back case is implemented.",upsert
0x0013,,,,lms1_core_ldo_en,2,2,"0=Disabled,1=Enabled",LMS1 internal LDO control.,upsert
0x0013,,,,lms1_txnrx1,3,3,"0=TXIQ,1=RXIQ",LMS1 port 1 mode.,upsert
0x0013,,,,lms1_txnrx2,4,4,"0=TXIQ,1=RXIQ",LMS1 port 2 mode.,upsert
0x0013,,,,lms1_txen,5,5,"0=Disabled,1=Enabled",LMS1 TX hard enable.,upsert
0x0013,,,,lms1_rxen,6,6,"0=Disabled,1=Enabled",LMS1 RX hard enable.,upsert
