module,address,address_end,default,name,description,op
PLLCFG,0x0031,0x003F,0x0000,reserved,Reserved.,delete
TSTCFG,0x0062,0x0064,0x0000,reserved,Reserved.,delete
TSTCFG,0x006A,0x006D,0x0000,reserved,Reserved.,delete
TSTCFG,0x006E,0x0071,0x0000,reserved,Reserved.,delete
TSTCFG,0x0074,0x007C,0x0000,reserved,Reserved.,delete
PERIPHCFG,0x00C1,0x00C3,0x0000,reserved,Reserved.,delete
PERIPHCFG,0x00C7,0x00C9,0x0000,reserved,Reserved.,delete
PERIPHCFG,0x00CB,0x00D1,0x0000,reserved,Reserved.,delete
FPGACFG,0x0000,,0x0011,board_id,Board identification number (LimeSDR USB default 0x0011).,upsert
FPGACFG,0x0001,,,major_rev,Major gateware revision number.,upsert
FPGACFG,0x0002,,,compile_rev,Gateware compile revision number.,upsert
FPGACFG,0x0003,,0x0002,board_ver_ctrl,"Board version/BOM control. Documented quirk: firmware currently always returns a fixed 0x0002, regardless of actual hardware/BOM version.",upsert
FPGACFG,0x0005,,0x0000,drct_clk_en,Clock source selection for RX/TX interfaces (direct vs. PLL clocking).,upsert
FPGACFG,0x0007,,0x0303,ch_en,RX/TX MIMO channel enable control.,upsert
FPGACFG,0x0008,,0x0102,stream_ctrl,"Sample-width and interface-mode control. Only smpl_width[1:0], trxiq_pulse[7], mimo_int_en[8] and synch_dis[9] are writable; other bits are read-only pass-through.",upsert
FPGACFG,0x0009,,0x0003,reg09,Packet control: TX packet-loss clear and timestamp reset.,upsert
FPGACFG,0x000A,,0x0000,reg10,RX/TX module control.,upsert
FPGACFG,0x000B,,,reserved,Reserved.,upsert
FPGACFG,0x000C,,0x0003,wfm_ch_en,"WFM player channel enable control (DDR2/WFM-capable variants only, guarded by DDR_MODULES_PRESENT).",upsert
FPGACFG,0x000D,,0x0001,wfm_ctrl2,"WFM player sample-width/play/load control (DDR2/WFM-capable variants only, guarded by DDR_MODULES_PRESENT).",upsert
